# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   83       6.444353340691e-10       9.127465061263e-14      -3.438148473811e-12       0.000000000000e+00       3.730431021089e-11       5.039060273167e-12      -1.983287653480e-14 
   84       6.526460984536e-10       9.482624985985e-14      -3.589336927026e-12       0.000000000000e+00       3.617676705012e-11       4.911240593189e-12      -2.017589937536e-14 
   85       6.609122886633e-10       9.841116680729e-14      -3.742500917350e-12       0.000000000000e+00       3.509044392595e-11       4.788089825492e-12      -2.039666186550e-14 
   86       6.692350411373e-10       1.020264560682e-13      -3.897565134228e-12       0.000000000000e+00       3.404524342006e-11       4.669558387338e-12      -2.050063282156e-14 
   87       6.776150914047e-10       1.056690745372e-13      -4.054453074207e-12       0.000000000000e+00       3.304059193663e-11       4.555537242156e-12      -2.049439882135e-14 
   88       6.860527522327e-10       1.093358812838e-13      -4.213087113506e-12       0.000000000000e+00       3.207542002750e-11       4.445855479165e-12      -2.038570205638e-14 
   89       6.945478917734e-10       1.130236374443e-13      -4.373388580582e-12       0.000000000000e+00       3.114814271733e-11       4.340277893011e-12      -2.018347818411e-14 
   90       7.030999117123e-10       1.167290061157e-13      -4.535277828701e-12       0.000000000000e+00       3.025663982867e-11       4.238502563396e-12      -1.989789418023e-14 
   91       7.117077254150e-10       1.204485522479e-13      -4.698674308514e-12       0.000000000000e+00       2.939823630717e-11       4.140158434708e-12      -1.954038619089e-14 
   92       7.203697360754e-10       1.241787425370e-13      -4.863496640619e-12       0.000000000000e+00       2.856968254662e-11       4.044802895653e-12      -1.912369738496e-14 
   93       7.290842965432e-10       1.279158851477e-13      -5.029650188575e-12       0.000000000000e+00       2.776791907958e-11       3.952028343037e-12      -1.866048365859e-14 
   94       7.378512153803e-10       1.316559387436e-13      -5.196987482306e-12       0.000000000000e+00       2.699254494336e-11       3.861805463799e-12      -1.815880865345e-14 
   95       7.466704379665e-10       1.353946744037e-13      -5.365341948855e-12       0.000000000000e+00       2.624368590694e-11       3.774187347833e-12      -1.762603802126e-14 
   96       7.555415699659e-10       1.391277323125e-13      -5.534539783894e-12       0.000000000000e+00       2.552123439543e-11       3.689204192170e-12      -1.707022915007e-14 
   97       7.644638620859e-10       1.428506208273e-13      -5.704399852719e-12       0.000000000000e+00       2.482484058196e-11       3.606862376618e-12      -1.650014935767e-14 
   98       7.734361948373e-10       1.465587155448e-13      -5.874733591244e-12       0.000000000000e+00       2.415390347972e-11       3.527143539394e-12      -1.592529408497e-14 
   99       7.824570632935e-10       1.502472583687e-13      -6.045344906985e-12       0.000000000000e+00       2.350756203396e-11       3.450003652772e-12      -1.535590508943e-14 
  100       7.915245618503e-10       1.539113565760e-13      -6.216030080055e-12       0.000000000000e+00       2.288468621394e-11       3.375372098712e-12      -1.480298863839e-14 
  101       8.006363689849e-10       1.575459818840e-13      -6.386577664156e-12       0.000000000000e+00       2.228386810490e-11       3.303150744506e-12      -1.427833370255e-14 
  102       8.097897320161e-10       1.611459695178e-13      -6.556768387566e-12       0.000000000000e+00       2.170341300013e-11       3.233213018414e-12      -1.379453014931e-14 
  103       8.189814518634e-10       1.647060172767e-13      -6.726375054132e-12       0.000000000000e+00       2.114133049287e-11       3.165402985302e-12      -1.336498693617e-14 
  104       8.282084881939e-10       1.682209668224e-13      -6.895178315952e-12       0.000000000000e+00       2.059578225858e-11       3.099571381991e-12      -1.300082660817e-14 
  105       8.374699007896e-10       1.716866928269e-13      -7.063016631228e-12       0.000000000000e+00       2.006651347771e-11       3.035691258136e-12      -1.270105183471e-14 
  106       8.467651432386e-10       1.750993327552e-13      -7.229742901826e-12       0.000000000000e+00       1.955359907035e-11       2.973756306192e-12      -1.246107824898e-14 
  107       8.560934576453e-10       1.784550175121e-13      -7.395209278721e-12       0.000000000000e+00       1.905700043065e-11       2.913744784713e-12      -1.227572358515e-14 
  108       8.654538662068e-10       1.817498736107e-13      -7.559267237396e-12       0.000000000000e+00       1.857656153737e-11       2.855619000145e-12      -1.213919154547e-14 
  109       8.748451627905e-10       1.849800253405e-13      -7.721767653255e-12       0.000000000000e+00       1.811200506442e-11       2.799324788610e-12      -1.204505566734e-14 
  110       8.842659045105e-10       1.881415969356e-13      -7.882560877022e-12       0.000000000000e+00       1.766292849146e-11       2.744790997697e-12      -1.198624319033e-14 
  111       8.937144033048e-10       1.912307147433e-13      -8.041496810150e-12       0.000000000000e+00       1.722880021442e-11       2.691928968253e-12      -1.195501892329e-14 
  112       9.031887175124e-10       1.942435093921e-13      -8.198424980222e-12       0.000000000000e+00       1.680895565611e-11       2.640632016172e-12      -1.194296911141e-14 
  113       9.126866434501e-10       1.971761179600e-13      -8.353194616360e-12       0.000000000000e+00       1.640259337672e-11       2.590774914181e-12      -1.194098530329e-14 
  114       9.222057069894e-10       2.000246861431e-13      -8.505654724629e-12       0.000000000000e+00       1.600877118444e-11       2.542213373635e-12      -1.193924821798e-14 
  115       9.317431551336e-10       2.027853704234e-13      -8.655654163439e-12       0.000000000000e+00       1.562640224597e-11       2.494783526301e-12      -1.192721161207e-14 
  116       9.412962726134e-10       2.054544898089e-13      -8.803040599648e-12       0.000000000000e+00       1.525449151481e-11       2.448338637564e-12      -1.189575074496e-14 
  117       9.508633933496e-10       2.080289973463e-13      -8.947657071668e-12       0.000000000000e+00       1.489288594211e-11       2.402865417831e-12      -1.184393860571e-14 
  118       9.604429967206e-10       2.105060702738e-13      -9.089345148149e-12       0.000000000000e+00       1.454160859809e-11       2.358380945104e-12      -1.177306708724e-14 
  119       9.700333880578e-10       2.128829690320e-13      -9.227946074694e-12       0.000000000000e+00       1.420062477028e-11       2.314896511924e-12      -1.168455907841e-14 
  120       9.796326930967e-10       2.151570407545e-13      -9.363300839365e-12       0.000000000000e+00       1.386984019894e-11       2.272417436353e-12      -1.157997146987e-14 
  121       9.892388524276e-10       2.173257227589e-13      -9.495250238192e-12       0.000000000000e+00       1.354909931245e-11       2.230942872950e-12      -1.146099815993e-14 
  122       9.988496159462e-10       2.193865460373e-13      -9.623634940684e-12       0.000000000000e+00       1.323818346266e-11       2.190465623755e-12      -1.132947306041e-14 
  123       1.008462537304e-09       2.213371387473e-13      -9.748295555333e-12       0.000000000000e+00       1.293680916029e-11       2.150971949268e-12      -1.118737310253e-14 
  124       1.018074968360e-09       2.231752297024e-13      -9.869072695125e-12       0.000000000000e+00       1.264462631033e-11       2.112441379423e-12      -1.103682124276e-14 
  125       1.027684053630e-09       2.248986518631e-13      -9.985807043050e-12       0.000000000000e+00       1.236121644742e-11       2.074846524574e-12      -1.088008946872e-14 
  126       1.037286724737e-09       2.265053458276e-13      -1.009833941761e-11       0.000000000000e+00       1.208609097121e-11       2.038152886472e-12      -1.071960180498e-14 
  127       1.046879694866e-09       2.279933633223e-13      -1.020651083831e-11       0.000000000000e+00       1.181868938178e-11       2.002318669244e-12      -1.055793731900e-14 
  128       1.056459453208e-09       2.293608706928e-13      -1.031016259121e-11       0.000000000000e+00       1.155837751503e-11       1.967294590374e-12      -1.039783312693e-14 
  129       1.066022610199e-09       2.306062534801e-13      -1.040913968281e-11       0.000000000000e+00       1.130458281291e-11       1.933035598235e-12      -1.024165934033e-14 
  130       1.075566987816e-09       2.317284357043e-13      -1.050330149109e-11       0.000000000000e+00       1.105722066019e-11       1.899537879516e-12      -1.008977239868e-14 
